links,type,state,creation date,updated date,closed date,comment count,user count
https://api.github.com/repos/axios/axios/issues/295,issue,closed,2016-04-14T05:26:00Z,2020-05-21T18:54:22Z,2016-04-14T09:25:12Z,15,12
https://api.github.com/repos/electron/electron/issues/4422,issue,closed,2016-02-08T23:20:58Z,2019-04-24T05:54:30Z,2016-02-10T23:39:14Z,5,2
https://api.github.com/repos/google/ExoPlayer/issues/3413,issue,closed,2017-11-01T09:08:15Z,2018-03-07T18:11:41Z,2017-11-01T14:26:53Z,3,2
https://api.github.com/repos/Alamofire/Alamofire/issues/1648,issue,closed,2016-09-30T20:10:14Z,2016-10-01T21:25:51Z,2016-10-01T21:25:44Z,1,1
https://api.github.com/repos/dotnet/aspnetcore/issues/3049,issue,closed,2018-04-12T12:33:18Z,2019-12-04T02:01:39Z,2018-04-12T17:59:31Z,1,0
https://api.github.com/repos/ctripcorp/apollo/issues/1044,issue,closed,2018-04-10T01:56:43Z,2018-08-26T13:37:47Z,2018-08-26T13:37:47Z,4,1
https://api.github.com/repos/yiisoft/yii2/issues/539,issue,closed,2013-06-15T18:23:08Z,2013-06-15T19:33:37Z,2013-06-15T19:33:37Z,2,1
https://api.github.com/repos/mitmproxy/mitmproxy/issues/2506,issue,closed,2017-08-07T13:52:55Z,2017-08-07T13:55:37Z,2017-08-07T13:55:33Z,1,1
https://api.github.com/repos/odoo/odoo/issues/36126,pr,closed,2019-08-27T11:57:56Z,2019-10-18T17:46:50Z,2019-08-27T14:35:35Z,2,2
https://api.github.com/repos/eggjs/egg/issues/1475,issue,closed,2017-09-28T19:30:15Z,2018-04-26T14:53:42Z,2017-09-29T00:25:28Z,7,3
https://api.github.com/repos/balderdashy/sails/issues/2232,issue,closed,2014-09-17T06:46:17Z,2014-09-17T23:18:14Z,2014-09-17T23:18:14Z,1,1
https://api.github.com/repos/ant-design/ant-design-pro/issues/5734,issue,closed,2019-12-12T01:18:53Z,2019-12-12T08:35:04Z,2019-12-12T08:35:04Z,6,1
https://api.github.com/repos/psf/requests/issues/5489,issue,closed,2020-06-11T21:17:32Z,2020-06-12T12:32:02Z,2020-06-12T12:09:15Z,6,1
https://api.github.com/repos/axios/axios/issues/953,issue,closed,2017-06-13T15:26:31Z,2020-05-22T13:09:09Z,2017-08-12T20:34:44Z,13,8
https://api.github.com/repos/angular/angular.js/issues/2635,issue,closed,2013-05-11T04:19:38Z,2013-05-12T21:41:41Z,2013-05-12T21:41:41Z,0,0
https://api.github.com/repos/nuxt/nuxt.js/issues/1590,issue,closed,2017-09-06T13:12:15Z,2018-11-03T16:05:30Z,2017-11-20T01:55:01Z,2,1
https://api.github.com/repos/js-cookie/js-cookie/issues/597,issue,closed,2020-02-20T11:53:33Z,2020-02-20T14:09:26Z,2020-02-20T12:50:25Z,3,1
https://api.github.com/repos/eggjs/egg/issues/3517,issue,closed,2019-03-06T13:18:37Z,2019-04-24T06:04:28Z,2019-04-24T06:04:28Z,2,1
https://api.github.com/repos/laravel/framework/issues/11178,pr,closed,2015-12-03T20:33:44Z,2015-12-05T16:40:17Z,2015-12-05T16:40:16Z,0,0
https://api.github.com/repos/puppeteer/puppeteer/issues/2630,issue,closed,2018-05-30T14:47:09Z,2019-01-10T22:46:03Z,2019-01-10T22:46:03Z,3,3
https://api.github.com/repos/rails/rails/issues/1150,pr,closed,2011-05-19T13:54:07Z,2014-07-03T04:30:02Z,2011-05-19T14:35:00Z,1,1
https://api.github.com/repos/puppeteer/puppeteer/issues/3621,issue,closed,2018-12-03T11:50:45Z,2018-12-14T00:14:00Z,2018-12-14T00:14:00Z,8,2
https://api.github.com/repos/laravel/framework/issues/23496,issue,closed,2018-03-11T17:23:58Z,2018-03-16T05:28:47Z,2018-03-16T05:28:47Z,3,2
https://api.github.com/repos/js-cookie/js-cookie/issues/591,issue,closed,2020-01-23T07:24:24Z,2020-01-23T09:34:45Z,2020-01-23T09:16:36Z,12,1
https://api.github.com/repos/axios/axios/issues/1385,issue,closed,2018-02-25T16:45:43Z,2020-05-22T13:22:02Z,2020-03-28T15:01:22Z,9,9
https://api.github.com/repos/js-cookie/js-cookie/issues/486,issue,closed,2019-01-14T02:15:57Z,2019-01-14T07:57:40Z,2019-01-14T07:57:40Z,6,1
https://api.github.com/repos/laravel/framework/issues/18833,issue,closed,2017-04-17T20:13:35Z,2017-06-12T21:01:14Z,2017-06-12T21:01:14Z,1,1
https://api.github.com/repos/vapor/vapor/issues/2320,issue,closed,2020-04-17T07:44:33Z,2020-04-17T16:36:24Z,2020-04-17T16:36:24Z,3,1
https://api.github.com/repos/tornadoweb/tornado/issues/1961,issue,closed,2017-02-23T11:54:53Z,2017-03-25T15:02:37Z,2017-03-25T15:02:37Z,2,1
https://api.github.com/repos/eggjs/egg/issues/4216,issue,closed,2020-03-11T06:37:21Z,2020-05-01T07:43:21Z,2020-03-16T07:15:45Z,5,2
